created_at,username,clip_url
2015-02-25 17:52:46.196089,jef,http://dszi951biamkv.cloudfront.net/clips/videos/f5fe9c6e-a130-40f8-ad2b-562ed70f6288/standard.mp4
2015-02-25 17:53:50.368021,jef,http://dszi951biamkv.cloudfront.net/clips/videos/e8d0cb9b-2b41-4f6a-a961-92fc3d6323b0/standard.mp4
2015-02-25 18:08:14.593672,jef,http://dszi951biamkv.cloudfront.net/clips/videos/82fca5ad-b718-4dc8-9823-0224fd3c0293/standard.mp4
2015-02-25 18:31:22.967034,jef,http://dszi951biamkv.cloudfront.net/clips/videos/3e5ad176-1c40-4c1b-90cc-4dd68e9add04/standard.mp4
2015-02-25 18:32:25.470864,jef,http://dszi951biamkv.cloudfront.net/clips/videos/90e5073c-b8db-44ca-bc59-c27a31a825fc/standard.mp4
2015-02-25 18:34:10.355091,jef,http://dszi951biamkv.cloudfront.net/clips/videos/ecec1300-a401-44a3-9851-f3b40f4c76b2/standard.mp4
2015-02-25 18:38:39.730247,jef,http://dszi951biamkv.cloudfront.net/clips/videos/b3298af4-a19c-4b83-8af6-ee423b677bce/standard.mp4
2015-02-25 18:39:30.409958,jef,http://dszi951biamkv.cloudfront.net/clips/videos/e250cf76-765c-4b91-8ee1-e96b00d278e7/standard.mp4
2015-02-25 22:19:01.685245,jef,http://dszi951biamkv.cloudfront.net/clips/videos/d770f82f-6c62-44e7-a339-2d1e2272d175/standard.mp4
2015-02-25 22:21:37.497528,jef,http://dszi951biamkv.cloudfront.net/clips/videos/d838ef02-1aac-4217-9d55-a70832285732/standard.mp4
2015-02-25 22:21:53.029404,jef,http://dszi951biamkv.cloudfront.net/clips/videos/552b3d0d-2d70-4c0d-a795-faccd9eb5485/standard.mp4
2015-02-26 00:08:34.98567,rachel,http://dszi951biamkv.cloudfront.net/clips/videos/28a482f6-20be-4a6a-8a97-4e2a608a8017/standard.mp4
2015-02-26 00:09:40.780381,rachel,http://dszi951biamkv.cloudfront.net/clips/videos/bcb9fa24-075b-404f-8a12-8d6d57563185/standard.mp4
2015-02-26 01:28:20.397233,jef,http://dszi951biamkv.cloudfront.net/clips/videos/f5fb22b7-9359-4dde-bd05-f80454842852/standard.mp4
2015-02-26 03:07:36.522125,jef,http://dszi951biamkv.cloudfront.net/clips/videos/d239f823-8773-4fc2-b281-b7ffe1869295/standard.mp4
2015-02-26 03:08:33.776826,rachel,http://dszi951biamkv.cloudfront.net/clips/videos/a1822bdc-ef4d-4499-9f95-f1ab828ae23a/standard.mp4
2015-02-26 03:13:24.023081,jef,http://dszi951biamkv.cloudfront.net/clips/videos/8287a6c7-8359-44ed-91e4-8e0de4975c57/standard.mp4
2015-02-26 03:17:03.129207,jef,http://dszi951biamkv.cloudfront.net/clips/videos/cef2b7e8-f7ac-4102-be61-a630c3e59519/standard.mp4
2015-02-26 03:18:00.857517,jef,http://dszi951biamkv.cloudfront.net/clips/videos/90d99ab5-e6d5-4cb9-870a-085879670d24/standard.mp4
2015-02-26 03:38:15.043025,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/aef68c45-c9e0-4c26-a941-b3f7ee7e2b40/standard.mp4
2015-02-26 03:38:35.240522,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/f01b02e1-de2a-4452-a68e-c350ae9912e5/standard.mp4
2015-02-26 03:39:03.079304,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/ed6339b2-53ad-4706-996d-2c54ea83b2d5/standard.mp4
2015-02-26 04:07:21.507476,johnfullard,http://dszi951biamkv.cloudfront.net/clips/videos/d524ad94-6986-449d-944f-c14a41bf14b4/standard.mp4
